#session,step,active_part,passive_part,action,msg_content,msg_type
4,6,bob,-,generateNumberNB2,X20,anbxj.Crypto_ByteArray
4,6,bob,alice,sent,@246ae04d,javax.crypto.SealedObject
4,6,alice,bob,received,@246ae04d,javax.crypto.SealedObject
4,6,alice,-,inv_check,@46f5f779,javax.crypto.SealedObject.toString
4,7,alice,charlie,sent,@3ada9e37,javax.crypto.SealedObject
4,7,charlie,alice,received,@3ada9e37,javax.crypto.SealedObject
4,7,charlie,-,inv_check,X17,anbxj.Crypto_ByteArray.toString
4,7,charlie,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
5,0,charlie,-,eq_check,charlie!,java.lang.String.toString
5,0,charlie,-,generateNumber,X21,anbxj.Crypto_ByteArray
5,0,charlie,-,AnBx_Params,X1;X21,anbxj.AnBx_Params
5,0,charlie,-,AnBx_Params,charlie;@3a03464,anbxj.AnBx_Params
5,0,charlie,alice,sent,charlie;@3a03464,javax.crypto.SealedObject
5,0,alice,-,eq_check,alice!,java.lang.String.toString
5,0,alice,-,eq_check,alice!,java.lang.String.toString
5,0,alice,charlie,received,charlie;@3a03464,javax.crypto.SealedObject
5,0,alice,-,eq_check,charlie,java.lang.String.toString
5,1,alice,-,AnBx_Params,charlie;@1c2c22f3,anbxj.AnBx_Params
5,1,alice,bob,sent,charlie;@1c2c22f3,javax.crypto.SealedObject
5,1,bob,alice,received,charlie;@1c2c22f3,javax.crypto.SealedObject
5,1,bob,-,AnBx_Params,X1;X21,anbxj.AnBx_Params
5,1,bob,-,inv_check,X21,anbxj.Crypto_ByteArray.toString
5,1,bob,-,eq_check,charlie,java.lang.String.toString
5,2,bob,-,generateNumber,X22,anbxj.Crypto_ByteArray
5,2,bob,-,AnBx_Params,X23;X22,anbxj.AnBx_Params
5,2,bob,alice,sent,@614c5515,javax.crypto.SealedObject
5,2,alice,bob,received,@614c5515,javax.crypto.SealedObject
5,2,alice,-,inv_check,@52d455b8,javax.crypto.SealedObject.toString
5,2,alice,-,inv_check,@1c2c22f3,javax.crypto.SealedObject.toString
5,3,alice,charlie,sent,@52d455b8,javax.crypto.SealedObject
5,3,charlie,alice,received,@52d455b8,javax.crypto.SealedObject
5,3,charlie,-,eq_check,X23,anbxj.Crypto_ByteArray.toString
5,4,charlie,alice,sent,@3cbbc1e0,javax.crypto.SealedObject
5,4,alice,charlie,received,@3cbbc1e0,javax.crypto.SealedObject
5,4,alice,-,inv_check,@6956de9,javax.crypto.SealedObject.toString
5,5,alice,bob,sent,@6956de9,javax.crypto.SealedObject
5,5,bob,alice,received,@6956de9,javax.crypto.SealedObject
5,5,bob,-,eq_check,X24,anbxj.Crypto_ByteArray.toString
5,6,bob,-,generateNumberNB2,X25,anbxj.Crypto_ByteArray
5,6,bob,alice,sent,@327471b5,javax.crypto.SealedObject
5,6,alice,bob,received,@327471b5,javax.crypto.SealedObject
5,6,alice,-,inv_check,@2d6d8735,javax.crypto.SealedObject.toString
5,7,alice,charlie,sent,@3ada9e37,javax.crypto.SealedObject
5,7,charlie,alice,received,@3ada9e37,javax.crypto.SealedObject
5,7,charlie,-,inv_check,X22,anbxj.Crypto_ByteArray.toString
5,7,charlie,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
6,0,charlie,-,eq_check,charlie!,java.lang.String.toString
6,0,charlie,-,generateNumber,X26,anbxj.Crypto_ByteArray
6,0,charlie,-,AnBx_Params,X1;X26,anbxj.AnBx_Params
6,0,charlie,-,AnBx_Params,charlie;@531be3c5,anbxj.AnBx_Params
6,0,charlie,alice,sent,charlie;@531be3c5,javax.crypto.SealedObject
6,0,alice,-,eq_check,alice!,java.lang.String.toString
6,0,alice,-,eq_check,alice!,java.lang.String.toString
6,0,alice,charlie,received,charlie;@531be3c5,javax.crypto.SealedObject
6,0,alice,-,eq_check,charlie,java.lang.String.toString
6,1,alice,-,AnBx_Params,charlie;@ba4d54,anbxj.AnBx_Params
6,1,alice,bob,sent,charlie;@ba4d54,javax.crypto.SealedObject
6,1,bob,alice,received,charlie;@ba4d54,javax.crypto.SealedObject
6,1,bob,-,AnBx_Params,X1;X26,anbxj.AnBx_Params
6,1,bob,-,inv_check,X26,anbxj.Crypto_ByteArray.toString
6,1,bob,-,eq_check,charlie,java.lang.String.toString
6,2,bob,-,generateNumber,X27,anbxj.Crypto_ByteArray
6,2,bob,-,AnBx_Params,X28;X27,anbxj.AnBx_Params
6,2,bob,alice,sent,@2d3fcdbd,javax.crypto.SealedObject
6,2,alice,bob,received,@2d3fcdbd,javax.crypto.SealedObject
6,2,alice,-,inv_check,@6f79caec,javax.crypto.SealedObject.toString
6,2,alice,-,inv_check,@ba4d54,javax.crypto.SealedObject.toString
6,3,alice,charlie,sent,@6f79caec,javax.crypto.SealedObject
6,3,charlie,alice,received,@6f79caec,javax.crypto.SealedObject
6,3,charlie,-,eq_check,X28,anbxj.Crypto_ByteArray.toString
6,4,charlie,alice,sent,@61dc03ce,javax.crypto.SealedObject
6,4,alice,charlie,received,@61dc03ce,javax.crypto.SealedObject
6,4,alice,-,inv_check,@2471cca7,javax.crypto.SealedObject.toString
6,5,alice,bob,sent,@2471cca7,javax.crypto.SealedObject
6,5,bob,alice,received,@2471cca7,javax.crypto.SealedObject
6,5,bob,-,eq_check,X29,anbxj.Crypto_ByteArray.toString
6,6,bob,-,generateNumberNB2,X30,anbxj.Crypto_ByteArray
6,6,bob,alice,sent,@6df97b55,javax.crypto.SealedObject
6,6,alice,bob,received,@6df97b55,javax.crypto.SealedObject
6,6,alice,-,inv_check,@763d9750,javax.crypto.SealedObject.toString
6,7,alice,charlie,sent,@763d9750,javax.crypto.SealedObject
6,7,charlie,alice,received,@763d9750,javax.crypto.SealedObject
6,7,charlie,-,inv_check,X27,anbxj.Crypto_ByteArray.toString
6,7,charlie,-,inv_check,X30,anbxj.Crypto_ByteArray.toString
7,0,charlie,-,eq_check,charlie!,java.lang.String.toString
7,0,charlie,-,generateNumber,X31,anbxj.Crypto_ByteArray
7,0,charlie,-,AnBx_Params,X1;X31,anbxj.AnBx_Params
7,0,charlie,-,AnBx_Params,charlie;@153f5a29,anbxj.AnBx_Params
7,0,charlie,alice,sent,charlie;@153f5a29,javax.crypto.SealedObject
7,0,alice,-,eq_check,alice!,java.lang.String.toString
7,0,alice,-,eq_check,alice!,java.lang.String.toString
7,0,alice,charlie,received,charlie;@153f5a29,javax.crypto.SealedObject
7,0,alice,-,eq_check,charlie,java.lang.String.toString
7,1,alice,-,AnBx_Params,charlie;@d70c109,anbxj.AnBx_Params
7,1,alice,bob,sent,charlie;@d70c109,javax.crypto.SealedObject
7,1,bob,alice,received,charlie;@d70c109,javax.crypto.SealedObject
7,1,bob,-,AnBx_Params,X1;X31,anbxj.AnBx_Params
7,1,bob,-,inv_check,X31,anbxj.Crypto_ByteArray.toString
7,1,bob,-,eq_check,charlie,java.lang.String.toString
7,2,bob,-,generateNumber,X32,anbxj.Crypto_ByteArray
7,2,bob,-,AnBx_Params,X33;X32,anbxj.AnBx_Params
7,2,bob,alice,sent,@735b478,javax.crypto.SealedObject
7,2,alice,bob,received,@735b478,javax.crypto.SealedObject
7,2,alice,-,inv_check,@47d384ee,javax.crypto.SealedObject.toString
7,2,alice,-,inv_check,@d70c109,javax.crypto.SealedObject.toString
7,3,alice,charlie,sent,@47d384ee,javax.crypto.SealedObject
7,3,charlie,alice,received,@47d384ee,javax.crypto.SealedObject
7,3,charlie,-,eq_check,X33,anbxj.Crypto_ByteArray.toString
7,4,charlie,alice,sent,@39fb3ab6,javax.crypto.SealedObject
7,4,alice,charlie,received,@39fb3ab6,javax.crypto.SealedObject
7,4,alice,-,inv_check,@3930015a,javax.crypto.SealedObject.toString
7,5,alice,bob,sent,@3930015a,javax.crypto.SealedObject
7,5,bob,alice,received,@3930015a,javax.crypto.SealedObject
7,5,bob,-,eq_check,X34,anbxj.Crypto_ByteArray.toString
7,6,bob,-,generateNumberNB2,X35,anbxj.Crypto_ByteArray
7,6,bob,alice,sent,@61dc03ce,javax.crypto.SealedObject
7,6,alice,bob,received,@61dc03ce,javax.crypto.SealedObject
7,6,alice,-,inv_check,@1ff8b8f,javax.crypto.SealedObject.toString
7,7,alice,charlie,sent,@1ff8b8f,javax.crypto.SealedObject
7,7,charlie,alice,received,@1ff8b8f,javax.crypto.SealedObject
7,7,charlie,-,inv_check,X32,anbxj.Crypto_ByteArray.toString
7,7,charlie,-,inv_check,X35,anbxj.Crypto_ByteArray.toString
8,0,charlie,-,eq_check,charlie!,java.lang.String.toString
8,0,charlie,-,generateNumber,X36,anbxj.Crypto_ByteArray
8,0,charlie,-,AnBx_Params,X1;X36,anbxj.AnBx_Params
8,0,charlie,-,AnBx_Params,charlie;@5056dfcb,anbxj.AnBx_Params
8,0,charlie,alice,sent,charlie;@5056dfcb,javax.crypto.SealedObject
8,0,alice,-,eq_check,alice!,java.lang.String.toString
8,0,alice,-,eq_check,alice!,java.lang.String.toString
8,0,alice,charlie,received,charlie;@5056dfcb,javax.crypto.SealedObject
8,0,alice,-,eq_check,charlie,java.lang.String.toString
8,1,alice,-,AnBx_Params,charlie;@c39f790,anbxj.AnBx_Params
8,1,alice,bob,sent,charlie;@c39f790,javax.crypto.SealedObject
8,1,bob,alice,received,charlie;@c39f790,javax.crypto.SealedObject
8,1,bob,-,AnBx_Params,X1;X36,anbxj.AnBx_Params
8,1,bob,-,inv_check,X36,anbxj.Crypto_ByteArray.toString
8,1,bob,-,eq_check,charlie,java.lang.String.toString
8,2,bob,-,generateNumber,X37,anbxj.Crypto_ByteArray
8,2,bob,-,AnBx_Params,X38;X37,anbxj.AnBx_Params
8,2,bob,alice,sent,@7ca48474,javax.crypto.SealedObject
8,2,alice,bob,received,@7ca48474,javax.crypto.SealedObject
8,2,alice,-,inv_check,@50cbc42f,javax.crypto.SealedObject.toString
8,2,alice,-,inv_check,@c39f790,javax.crypto.SealedObject.toString
8,3,alice,charlie,sent,@50cbc42f,javax.crypto.SealedObject
8,3,charlie,alice,received,@50cbc42f,javax.crypto.SealedObject
8,3,charlie,-,eq_check,X38,anbxj.Crypto_ByteArray.toString
8,4,charlie,alice,sent,@66d2e7d9,javax.crypto.SealedObject
8,4,alice,charlie,received,@66d2e7d9,javax.crypto.SealedObject
8,4,alice,-,inv_check,@13b6d03,javax.crypto.SealedObject.toString
8,5,alice,bob,sent,@13b6d03,javax.crypto.SealedObject
8,5,bob,alice,received,@13b6d03,javax.crypto.SealedObject
8,5,bob,-,eq_check,X39,anbxj.Crypto_ByteArray.toString
8,6,bob,-,generateNumberNB2,X40,anbxj.Crypto_ByteArray
8,6,bob,alice,sent,@5056dfcb,javax.crypto.SealedObject
8,6,alice,bob,received,@5056dfcb,javax.crypto.SealedObject
8,6,alice,-,inv_check,@64c64813,javax.crypto.SealedObject.toString
8,7,alice,charlie,sent,@1ff8b8f,javax.crypto.SealedObject
8,7,charlie,alice,received,@1ff8b8f,javax.crypto.SealedObject
8,7,charlie,-,inv_check,X37,anbxj.Crypto_ByteArray.toString
8,7,charlie,-,inv_check,X35,anbxj.Crypto_ByteArray.toString
9,0,charlie,-,eq_check,charlie!,java.lang.String.toString
9,0,charlie,-,generateNumber,X41,anbxj.Crypto_ByteArray
9,0,charlie,-,AnBx_Params,X1;X41,anbxj.AnBx_Params
9,0,charlie,-,AnBx_Params,charlie;@402f32ff,anbxj.AnBx_Params
9,0,charlie,alice,sent,charlie;@402f32ff,javax.crypto.SealedObject
9,0,alice,-,eq_check,alice!,java.lang.String.toString
9,0,alice,-,eq_check,alice!,java.lang.String.toString
9,0,alice,charlie,received,charlie;@402f32ff,javax.crypto.SealedObject
9,0,alice,-,eq_check,charlie,java.lang.String.toString
9,1,alice,-,AnBx_Params,charlie;@3ecf72fd,anbxj.AnBx_Params
9,1,alice,bob,sent,charlie;@3ecf72fd,javax.crypto.SealedObject
9,1,bob,alice,received,charlie;@3ecf72fd,javax.crypto.SealedObject
9,1,bob,-,AnBx_Params,X1;X41,anbxj.AnBx_Params
9,1,bob,-,inv_check,X41,anbxj.Crypto_ByteArray.toString
9,1,bob,-,eq_check,charlie,java.lang.String.toString
9,2,bob,-,generateNumber,X42,anbxj.Crypto_ByteArray
9,2,bob,-,AnBx_Params,X43;X42,anbxj.AnBx_Params
9,2,bob,alice,sent,@66d2e7d9,javax.crypto.SealedObject
9,2,alice,bob,received,@66d2e7d9,javax.crypto.SealedObject
9,2,alice,-,inv_check,@25618e91,javax.crypto.SealedObject.toString
9,2,alice,-,inv_check,@3ecf72fd,javax.crypto.SealedObject.toString
9,3,alice,charlie,sent,@25618e91,javax.crypto.SealedObject
9,3,charlie,alice,received,@25618e91,javax.crypto.SealedObject
9,3,charlie,-,eq_check,X43,anbxj.Crypto_ByteArray.toString
9,4,charlie,alice,sent,@5f375618,javax.crypto.SealedObject
9,4,alice,charlie,received,@5f375618,javax.crypto.SealedObject
9,4,alice,-,inv_check,@2cfb4a64,javax.crypto.SealedObject.toString
9,5,alice,bob,sent,@2cfb4a64,javax.crypto.SealedObject
9,5,bob,alice,received,@2cfb4a64,javax.crypto.SealedObject
9,5,bob,-,eq_check,X44,anbxj.Crypto_ByteArray.toString
9,6,bob,-,generateNumberNB2,X45,anbxj.Crypto_ByteArray
9,6,bob,alice,sent,@48eff760,javax.crypto.SealedObject
9,6,alice,bob,received,@48eff760,javax.crypto.SealedObject
9,6,alice,-,inv_check,@2fc14f68,javax.crypto.SealedObject.toString
9,7,alice,charlie,sent,@2fc14f68,javax.crypto.SealedObject
9,7,charlie,alice,received,@2fc14f68,javax.crypto.SealedObject
9,7,charlie,-,inv_check,X42,anbxj.Crypto_ByteArray.toString
9,7,charlie,-,inv_check,X45,anbxj.Crypto_ByteArray.toString
10,0,charlie,-,eq_check,charlie!,java.lang.String.toString
10,0,charlie,-,generateNumber,X46,anbxj.Crypto_ByteArray
10,0,charlie,-,AnBx_Params,X1;X46,anbxj.AnBx_Params
10,0,charlie,-,AnBx_Params,charlie;@56f4468b,anbxj.AnBx_Params
10,0,charlie,alice,sent,charlie;@56f4468b,javax.crypto.SealedObject
10,0,alice,-,eq_check,alice!,java.lang.String.toString
10,0,alice,-,eq_check,alice!,java.lang.String.toString
10,0,alice,charlie,received,charlie;@56f4468b,javax.crypto.SealedObject
10,0,alice,-,eq_check,charlie,java.lang.String.toString
10,1,alice,-,AnBx_Params,charlie;@61443d8f,anbxj.AnBx_Params
10,1,alice,bob,sent,charlie;@61443d8f,javax.crypto.SealedObject
10,1,bob,alice,received,charlie;@61443d8f,javax.crypto.SealedObject
10,1,bob,-,AnBx_Params,X1;X46,anbxj.AnBx_Params
10,1,bob,-,inv_check,X46,anbxj.Crypto_ByteArray.toString
10,1,bob,-,eq_check,charlie,java.lang.String.toString
